datetime,underlying_price,NIFTY27JAN2625200CE,NIFTY27JAN2625300CE,NIFTY27JAN2625400CE,NIFTY27JAN2625500CE,NIFTY27JAN2625600CE,NIFTY27JAN2625700CE,NIFTY27JAN2625800CE,NIFTY27JAN2625900CE,NIFTY27JAN2626000CE,NIFTY27JAN2626100CE,NIFTY27JAN2626200CE,NIFTY27JAN2626300CE,NIFTY27JAN2626400CE,NIFTY27JAN2626500CE,NIFTY27JAN2623800PE,NIFTY27JAN2623900PE,NIFTY27JAN2624000PE,NIFTY27JAN2624100PE,NIFTY27JAN2624200PE,NIFTY27JAN2624300PE,NIFTY27JAN2624400PE,NIFTY27JAN2624500PE,NIFTY27JAN2624600PE,NIFTY27JAN2624700PE,NIFTY27JAN2624800PE,NIFTY27JAN2624900PE,NIFTY27JAN2625000PE,NIFTY27JAN2625100PE
07-01-2026 09:15,26111.65,0.12662,0.1233,0.11741,0.11382714830000795,0.11005,0.10576,0.10250182350268539,0.09914785896961976,0.0957,0.09397,0.09187,0.09041,0.08908,0.08795,0.1784,0.17237,0.16928,0.16334025059625745,0.1576,0.1524,0.14697,0.14105,0.13614445007683923,0.13085,0.1264,0.12142,0.11631,0.1115
07-01-2026 09:20,26141.4,0.08632,0.10226524632858516,0.10911402015251691,0.11779,0.11197,0.11028,0.10542138556534573,0.10211553724387792,0.09837,0.09619,0.09413,0.09236,0.09057,0.08761335862374903,0.17962,0.1749707256533462,0.1700089384356704,0.16479890699680416,0.15939880759065664,0.1542,0.14753,0.14274,0.13849,0.13282,0.1282240743058185,0.12363,0.11858434884048935,0.11353
07-01-2026 09:25,26139.35,0.09147,0.09318693707405867,0.09514,0.09933,0.09599,0.09204,0.09216,0.08954,0.08920569575450782,0.08861,0.08697,0.08627,0.08541,0.08461670027147858,0.1801,0.17574,0.17154,0.16567,0.15927,0.15426371718443863,0.14919,0.14245,0.13806,0.13242,0.12877,0.12349,0.11817,0.11261743169705701
07-01-2026 09:30,26128.95,0.1086,0.10842,0.1115,0.12248,0.10715,0.11098,0.10345,0.10129648564375435,0.09864,0.09511,0.09304,0.09123,0.08978609013622538,0.08843,0.18174,0.17693063360119393,0.17206,0.16502,0.15755,0.1527851630313471,0.14691,0.14209,0.13721,0.13229795451204568,0.12722,0.12252,0.11729,0.112
07-01-2026 09:35,26131.9,0.10462,0.11628933516496631,0.12459,0.11550932624217765,0.11225,0.11294,0.10544,0.10263151559388708,0.09896,0.09702735135754106,0.09412,0.09198931326029873,0.09014,0.08688845233952203,0.18193,0.17719349974253212,0.17226,0.16522,0.15924,0.15334,0.14784,0.1429324317584594,0.13765012430565915,0.13219,0.12733,0.12295,0.11707,0.11203450629795857
07-01-2026 09:40,26145.15,0.07079,0.07639,0.08313,0.08523,0.08587127188149568,0.08734,0.08610578667441843,0.08535453685797326,0.0845,0.08386,0.08346618534724223,0.08301,0.08262,0.08249,0.18277,0.1782,0.17265,0.16631,0.15883,0.15343,0.14961,0.14418640635418717,0.1386667609725229,0.13313,0.12864,0.12374,0.11872,0.11362800028335901
07-01-2026 09:45,26113.1,0.11896187736259276,0.11837,0.10826,0.11514,0.1083,0.1055,0.10226,0.10013241323540356,0.09741,0.09438,0.09237,0.09075,0.08912479089171833,0.08809,0.18107,0.17468,0.1704,0.16426,0.157,0.1522005391874116,0.14697,0.14089,0.13571,0.13075,0.12599,0.12090930984312018,0.11585350459016083,0.11071
07-01-2026 09:50,26110.0,0.13279789468549894,0.12087,0.10978,0.10769216809022546,0.10479357089640456,0.10221093020475103,0.09939,0.0968,0.09542,0.09335606273499308,0.09122,0.08945,0.08816936709399684,0.08699,0.18066984152356283,0.1745,0.17045,0.16386,0.15681,0.15155,0.14694,0.14146623166947075,0.13566,0.13068,0.12601,0.12097940130416396,0.11607,0.11092912234367755
07-01-2026 09:55,26108.9,0.13109219900256286,0.12175,0.13487,0.1259368603965623,0.12009,0.11328,0.11086912402357192,0.10781118633265314,0.10426,0.10032,0.09739,0.09479,0.09256,0.09083,0.18084,0.17444,0.16945,0.16358,0.15675,0.15165986957573502,0.14636,0.14063,0.1353,0.13053193931743262,0.12571,0.12047,0.1151610199588337,0.10983
07-01-2026 10:00,26140.3,0.09239,0.0877,0.115,0.11531,0.11123,0.10752,0.10161,0.09999064888256295,0.09747,0.09521056462249813,0.09255,0.09062,0.08911,0.0870403694137174,0.1828,0.17745,0.1717,0.16515,0.16067,0.15356,0.1481,0.14259,0.13769982344746218,0.13271416774378125,0.12774,0.12248,0.11733061105192921,0.1122
07-01-2026 10:05,26142.95,0.06575057589577676,0.08237,0.11304,0.10827178002164481,0.11037,0.10883921527924814,0.11004,0.10336,0.10275,0.09909,0.09616,0.09414322850922284,0.09204334872092756,0.09023,0.18298,0.17622,0.1714,0.16534,0.15961,0.15374,0.14828,0.14278,0.13766,0.13236,0.12794,0.12247,0.11739,0.11183
07-01-2026 10:10,26159.15,0.10591,0.11189,0.09886,0.10208472603170876,0.10278641346704748,0.1034558634950986,0.10588,0.10199561624175069,0.09956327659214234,0.09746,0.09524,0.09264,0.09117,0.08945,0.18571653582471706,0.17923208948239744,0.17292,0.16689036029450421,0.16096699844954565,0.15501,0.14937,0.14421,0.13893,0.1335,0.12901217256984224,0.12462,0.11843,0.11309
07-01-2026 10:15,26183.8,0.12049,0.09722,0.11136,0.09406,0.09202,0.09373978862836682,0.09326,0.08786,0.08838,0.08764432222949972,0.08634715279389243,0.08527,0.08415,0.08278043931625172,0.18267,0.17869209557273458,0.17425,0.16842,0.16269,0.15663,0.15173,0.14572,0.14048,0.13536,0.13028,0.12548,0.12019710414400737,0.115
07-01-2026 10:20,26169.15,0.13492,0.11376,0.12267,0.11527823380136563,0.10785,0.10343567529736111,0.09695,0.09399,0.09285,0.09164074165810193,0.08918,0.08784336685712693,0.08646,0.08546,0.18381,0.17694,0.17223474140691375,0.1675,0.16175363366293416,0.15607470410874355,0.15024,0.1452431471879013,0.13994,0.13449,0.12949,0.12431,0.11901,0.11379
07-01-2026 10:25,26152.25,0.14819,0.11685,0.1055,0.10144,0.09960494285780618,0.0963134473343336,0.09325,0.09388,0.0911,0.08959181684665699,0.08801,0.08672,0.0857,0.0848414355598052,0.18279,0.1759,0.1707401447362195,0.16552705908772508,0.16026,0.15459,0.14929916378933283,0.14378,0.13834,0.13291,0.12889,0.1234,0.11784,0.11258
