contract,option_type,strike,signed_derivative_sum,n_observed_27jan,n_derivative_terms,mean_signed_derivative,min_signed_derivative,max_signed_derivative,a_raw,a
NIFTY27JAN2625200CE,CE,25200,-0.4545766666666667,65,64,-0.007102760416666668,-0.25278000000000006,0.15715,-0.010043652212288338,0.0
NIFTY27JAN2625300CE,CE,25300,-0.024051000000000045,63,62,-0.00038791935483871085,-0.16995000000000005,0.10923000000000005,-0.0005313952454468567,0.0
NIFTY27JAN2625400CE,CE,25400,0.25834750000000006,58,57,0.004532412280701756,-0.12613000000000002,0.06941999999999998,0.005708063414123387,0.005708063414123387
NIFTY27JAN2625500CE,CE,25500,0.4417849999999999,64,63,0.0070124603174603175,-0.09921999999999997,0.16258000000000006,0.009761026506579314,0.009761026506579314
NIFTY27JAN2625600CE,CE,25600,1.0118266666666667,60,59,0.01714960451977401,-0.11260000000000003,0.32587999999999995,0.022355822206270307,0.022355822206270307
NIFTY27JAN2625700CE,CE,25700,1.2387616666666668,59,58,0.021357959770114943,-0.08348,0.4403299999999999,0.027369841582823556,0.027369841582823556
NIFTY27JAN2625800CE,CE,25800,1.5947166666666668,63,62,0.025721236559139788,-0.058720000000000105,0.44605000000000006,0.035234495634340564,0.035234495634340564
NIFTY27JAN2625900CE,CE,25900,1.8069824999999997,63,62,0.02914487903225806,-0.05956000000000006,0.6617499999999996,0.03992440684818397,0.03992440684818397
NIFTY27JAN2626000CE,CE,26000,1.2041600000000001,61,60,0.020069333333333335,-0.11227999999999994,0.35119,0.026605334445856128,0.026605334445856128
NIFTY27JAN2626100CE,CE,26100,1.9307699999999997,65,64,0.030168281249999998,-0.08694000000000002,0.43522000000000016,0.04265943195922936,0.04265943195922936
NIFTY27JAN2626200CE,CE,26200,2.7293591666666663,57,56,0.04873855654761904,-0.05292000000000002,0.9809399999999999,0.060303874445281215,0.060303874445281215
NIFTY27JAN2626300CE,CE,26300,1.5120356666666666,61,60,0.025200594444444443,-0.06574000000000002,0.25019000000000013,0.03340769881554752,0.03340769881554752
NIFTY27JAN2626400CE,CE,26400,1.0868583333333333,54,53,0.020506761006289308,-0.04703999999999997,0.21831999999999985,0.024013610694259162,0.024013610694259162
NIFTY27JAN2626500CE,CE,26500,2.5952425000000003,62,61,0.04254495901639345,-0.07162000000000002,0.7856100000000001,0.05734063137838807,0.05734063137838807
NIFTY27JAN2623800PE,PE,23800,1.8288200000000003,58,57,0.03208456140350878,-0.08255000000000001,0.46072000000000024,0.04040689587867942,0.04040689587867942
NIFTY27JAN2623900PE,PE,23900,2.8811833333333334,59,58,0.04967557471264368,-0.08206999999999998,1.216595,0.06365835618452689,0.06365835618452689
NIFTY27JAN2624000PE,PE,24000,2.8446541666666665,51,50,0.05689308333333333,-0.06769999999999998,1.5701999999999998,0.06285126186467314,0.06285126186467314
NIFTY27JAN2624100PE,PE,24100,3.6590450000000003,62,61,0.05998434426229509,-0.07206000000000001,1.4592100000000001,0.08084483455474159,0.08084483455474159
NIFTY27JAN2624200PE,PE,24200,2.8179441666666665,58,57,0.049437616959064325,-0.06833,1.34814,0.062261117296635,0.062261117296635
NIFTY27JAN2624300PE,PE,24300,3.182541666666667,65,64,0.049727213541666676,-0.07580999999999999,1.23693,0.07031672321746199,0.07031672321746199
NIFTY27JAN2624400PE,PE,24400,2.98036,61,60,0.04967266666666667,-0.05399999999999999,1.1255099999999998,0.06584961680262737,0.06584961680262737
NIFTY27JAN2624500PE,PE,24500,2.30992,62,61,0.037867540983606555,-0.08825,1.0137999999999998,0.051036568349033334,0.051036568349033334
NIFTY27JAN2624600PE,PE,24600,2.1268933333333333,63,62,0.0343047311827957,-0.08764000000000005,0.9017200000000001,0.04699268242093666,0.04699268242093666
NIFTY27JAN2624700PE,PE,24700,1.7675100000000001,65,64,0.02761734375,-0.08803,0.78914,0.039052280997870024,0.039052280997870024
NIFTY27JAN2624800PE,PE,24800,1.29909,59,58,0.022398103448275863,-0.08792,0.6759299999999999,0.02870276701208082,0.02870276701208082
NIFTY27JAN2624900PE,PE,24900,0.375775,53,52,0.007226442307692308,-0.131,0.13184,0.00830256739253221,0.00830256739253221
NIFTY27JAN2625000PE,PE,25000,0.4178299999999999,61,60,0.006963833333333332,-0.16687000000000002,0.40073000000000003,0.009231752334832633,0.009231752334832633
NIFTY27JAN2625100PE,PE,25100,-0.1636883333333332,60,59,-0.0027743785310734444,-0.26047,0.23776,-0.003616614779778526,0.0
